0	0	0	1
1	0	1	2
2	0	2	3
3	0	3	4
4	0	4	5
5	0	5	6
6	0	0	8
7	0	2	10
8	0	4	12
9	0	6	14
10	0	7	8
11	0	8	9
12	0	9	10
13	0	10	11
14	0	11	12
15	0	12	13
16	0	13	14
17	0	14	15
18	0	7	17
19	0	9	19
20	0	11	21
21	0	13	23
22	0	15	25
23	0	16	17
24	0	17	18
25	0	18	19
26	0	19	20
27	0	20	21
28	0	21	22
29	0	22	23
30	0	23	24
31	0	24	25
32	0	25	26
33	0	16	27
34	0	18	29
35	0	20	31
36	0	22	33
37	0	24	35
38	0	26	37
39	0	27	28
40	0	28	29
41	0	29	30
42	0	30	31
43	0	31	32
44	0	32	33
45	0	33	34
46	0	34	35
47	0	35	36
48	0	36	37
49	0	28	38
50	0	30	40
51	0	32	42
52	0	34	44
53	0	36	46
54	0	38	39
55	0	39	40
56	0	40	41
57	0	41	42
58	0	42	43
59	0	43	44
60	0	44	45
61	0	45	46
62	0	39	47
63	0	41	49
64	0	43	51
65	0	45	53
66	0	47	48
67	0	48	49
68	0	49	50
69	0	50	51
70	0	51	52
71	0	52	53
